Date 1,Time 1,RSSI,Badge,Date 2,Badge to Badge 1,6,7,8
2020-10-23,14:16:38:,181,26,2020-10-23,14:16:39,[9:216],,
2020-10-23,14:16:46:,188,09,2020-10-23,14:16:40,[26:218],[26:218],
2020-10-23,14:16:47:,189,09,2020-10-23,14:16:48,,,
2020-10-23,14:16:51:,182,26,2020-10-23,14:16:47,,,
2020-10-23,14:16:57:,181,26,2020-10-23,14:16:55,[9:216],[9:216],
2020-10-23,14:17:03:,188,09,2020-10-23,14:16:56,[26:218],,
2020-10-23,14:17:04:,182,26,2020-10-23,14:17:03,,,
2020-10-23,14:17:10:,188,09,2020-10-23,14:17:04,[26:218],,
2020-10-23,14:17:12:,181,26,2020-10-23,14:17:11,[9:216],,
2020-10-23,14:17:16:,189,09,2020-10-23,14:17:12,[26:218],,
2020-10-23,14:17:19:,182,26,2020-10-23,14:17:19,[9:216],[9:216],
2020-10-23,14:17:25:,189,09,2020-10-23,14:17:20,[26:218],[26:218],
2020-10-23,14:17:26:,182,26,2020-10-23,14:17:27,[9:216],,
2020-10-23,14:17:28:,189,09,2020-10-23,14:17:28,[26:218],,
2020-10-23,14:17:39:,182,26,2020-10-23,14:17:35,[9:216],,
2020-10-23,14:17:40:,189,09,2020-10-23,14:17:36,,,
2020-10-23,14:17:44:,182,26,2020-10-23,14:17:43,[9:216],,
2020-10-23,14:17:45:,189,09,2020-10-23,14:17:44,[26:218],,
2020-10-23,14:17:52:,182,26,2020-10-23,14:17:51,[9:216],,
2020-10-23,14:17:53:,189,09,2020-10-23,14:17:53,[26:218],[26:217],
2020-10-23,14:17:59:,182,26,2020-10-23,14:17:59,[9:216],,
2020-10-23,14:18:04:,188,09,2020-10-23,14:18:01,[26:218],,
2020-10-23,14:18:09:,189,09,2020-10-23,14:18:09,,,
2020-10-23,14:18:10:,182,26,2020-10-23,14:18:07,[9:216],,
2020-10-23,14:18:15:,182,26,2020-10-23,14:18:15,[9:216],,
2020-10-23,14:18:16:,188,09,2020-10-23,14:18:17,[26:218],[26:218],
2020-10-23,14:18:23:,182,26,2020-10-23,14:18:23,[9:215],,
2020-10-23,14:18:29:,189,09,2020-10-23,14:18:25,[26:218],,
2020-10-23,14:18:34:,182,26,2020-10-23,14:18:31,[9:216],,
2020-10-23,14:18:35:,189,09,2020-10-23,14:18:33,,,
2020-10-23,14:18:41:,182,26,2020-10-23,14:18:39,[9:216],,
2020-10-23,14:18:41:,188,09,2020-10-23,14:18:41,[26:218],,
2020-10-23,14:18:53:,182,26,2020-10-23,14:18:47,[9:216],,
2020-10-23,14:18:54:,188,09,2020-10-23,14:18:48,[26:218],,
2020-10-23,14:18:57:,182,26,2020-10-23,14:18:55,,,
2020-10-23,14:18:57:,189,09,2020-10-23,14:18:56,[26:218],,
2020-10-23,14:19:02:,182,26,2020-10-23,14:19:03,[9:216],[9:216],
2020-10-23,14:19:09:,189,09,2020-10-23,14:19:04,[26:218],[26:218],
2020-10-23,14:19:13:,181,26,2020-10-23,14:19:11,[9:216],,
2020-10-23,14:19:19:,189,09,2020-10-23,14:19:12,,,
2020-10-23,14:19:19:,182,26,2020-10-23,14:19:19,,,
2020-10-23,14:19:23:,189,09,2020-10-23,14:19:20,[26:218],[26:218],
2020-10-23,14:19:31:,189,09,2020-10-23,14:19:28,,,
2020-10-23,14:19:32:,182,26,2020-10-23,14:19:27,[9:216],[9:215],
2020-10-23,14:19:35:,189,09,2020-10-23,14:19:36,[26:218],,
2020-10-23,14:19:38:,182,26,2020-10-23,14:19:35,[9:216],,
2020-10-23,14:19:45:,189,09,2020-10-23,14:19:44,[26:218],,
2020-10-23,14:19:48:,182,26,2020-10-23,14:19:43,[9:216],,
2020-10-23,14:19:50:,182,26,2020-10-23,14:19:51,[9:216],,
2020-10-23,14:19:51:,189,09,2020-10-23,14:19:52,[26:218],[26:218],
2020-10-23,14:20:03:,189,09,2020-10-23,14:20:00,,,
2020-10-23,14:20:03:,182,26,2020-10-23,14:19:59,[9:216],,
2020-10-23,14:20:06:,182,26,2020-10-23,14:20:07,[9:216],,
2020-10-23,14:20:14:,188,09,2020-10-23,14:20:08,[26:218],[26:218],
2020-10-23,14:20:15:,182,26,2020-10-23,14:20:15,,,
2020-10-23,14:20:17:,189,09,2020-10-23,14:20:16,[26:218],,
2020-10-23,14:20:23:,181,26,2020-10-23,14:20:23,[9:216],[9:216],
2020-10-23,14:20:27:,188,09,2020-10-23,14:20:24,[26:218],,
2020-10-23,14:20:32:,189,09,2020-10-23,14:20:32,,,
2020-10-23,14:20:34:,182,26,2020-10-23,14:20:31,[9:216],,
2020-10-23,14:20:39:,189,09,2020-10-23,14:20:40,[26:218],,
2020-10-23,14:20:44:,182,26,2020-10-23,14:20:39,[9:216],,
2020-10-23,14:20:48:,181,26,2020-10-23,14:20:47,[9:216],,
2020-10-23,14:20:50:,189,09,2020-10-23,14:20:48,[26:218],,
2020-10-23,14:20:55:,188,09,2020-10-23,14:20:56,[26:218],,
2020-10-23,14:20:55:,182,26,2020-10-23,14:20:55,[9:216],,
2020-10-23,14:21:04:,189,09,2020-10-23,14:21:04,[26:218],,
2020-10-23,14:21:05:,182,26,2020-10-23,14:21:03,[9:215],,
2020-10-23,14:21:12:,188,09,2020-10-23,14:21:12,[26:218],,
2020-10-23,14:21:14:,182,26,2020-10-23,14:21:11,[9:215],,
2020-10-23,14:21:19:,189,09,2020-10-23,14:21:20,[26:218],,
2020-10-23,14:21:23:,182,26,2020-10-23,14:21:19,[9:216],,
2020-10-23,14:21:32:,181,26,2020-10-23,14:21:27,[9:216],,
2020-10-23,14:21:32:,188,09,2020-10-23,14:21:28,[26:218],,
2020-10-23,14:21:35:,181,26,2020-10-23,14:21:35,[9:216],,
2020-10-23,14:21:38:,189,09,2020-10-23,14:21:36,[26:218],,
2020-10-23,14:21:42:,182,26,2020-10-23,14:21:43,[9:216],,
2020-10-23,14:21:44:,188,09,2020-10-23,14:21:44,[26:218],[26:218],
2020-10-23,14:21:52:,189,09,2020-10-23,14:21:52,,,
2020-10-23,14:21:57:,181,26,2020-10-23,14:21:51,[9:216],,
